CVE-2015-1634,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1634 (MS15-018) Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability, a different vulnerability than CVE-2015-1625."
CVE-2015-1626,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1626 (MS15-018) Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability, a different vulnerability than CVE-2015-0056 and CVE-2015-1623."
CVE-2015-1625,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1625 (MS15-018) Microsoft Internet Explorer 6 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability, a different vulnerability than CVE-2015-1634."
CVE-2015-1624,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1624 (MS15-018) Microsoft Internet Explorer 8 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability."
CVE-2015-1623,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1623 (MS15-018) Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability, a different vulnerability than CVE-2015-0056 and CVE-2015-1626."
CVE-2015-1622,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-1622 (MS15-018) Microsoft Internet Explorer 10 and 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability."
CVE-2015-0100,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-0100 (MS15-018) Microsoft Internet Explorer 8 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability."
CVE-2015-0099,CWE-399,"Internet Explorer memory corruption vulnerability - CVE-2015-0099 (MS15-018) Microsoft Internet Explorer 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka Internet Explorer Memory Corruption Vulnerability."
CVE-2015-0086,CWE-399,"Microsoft office memory corruption vulnerability – CVE-2015-0086 (MS15-022) Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 Gold and SP1, Word 2013 RT Gold and SP1, Word Viewer, Office Compatibility Pack SP3, Word Automation Services on SharePoint Server 2010 SP2, Word Automation Services on SharePoint Server 2013 Gold and SP1, Web Applications 2010 SP2, and Web Apps Server 2013 Gold and SP1 allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted RTF document, aka Microsoft Office Memory Corruption Vulnerability."
CVE-2015-0079,CWE-399,"Remote desktop protocol (RDP) denial of service vulnerability - CVE-2015-0079 (MS15-030) The Remote Desktop Protocol (RDP) implementation in Microsoft Windows 7 SP1, Windows 8, Windows 8.1, and Windows Server 2012 Gold and R2 allows remote attackers to cause a denial of service (memory consumption and RDP outage) by establishing many RDP sessions that do not properly free allocated memory, aka Remote Desktop Protocol (RDP) Denial of Service Vulnerability."
